OGLE-LMC-T2CEP-188  BLHer  05:46:14.49 -69:59:05.9  LMC552.29.5474D  LMC184.2.1570                   
OGLE-LMC-T2CEP-189  BLHer  05:47:40.05 -68:50:11.6  LMC553.28.3221   LMC189.8.467                    
OGLE-LMC-T2CEP-190  RVTau  05:50:20.47 -69:30:54.7  LMC553.09.18570  LMC190.8.16276                  HV6070
OGLE-LMC-T2CEP-191  RVTau  05:51:22.54 -69:53:51.4  LMC553.01.5      LMC191.7.21922                  HV2862
OGLE-LMC-T2CEP-192  RVTau  05:53:55.69 -70:17:11.4  LMC560.07.11642  LMC192.3.45                     
OGLE-LMC-T2CEP-193   WVir  05:55:16.51 -71:50:32.6  LMC551.09.5898   LMC194.8.5399                   
OGLE-LMC-T2CEP-194  BLHer  05:57:12.03 -72:17:13.3  LMC558.25.237    LMC195.2.499                    
OGLE-LMC-T2CEP-195  BLHer  06:02:46.27 -72:12:47.1  LMC558.22.4213   LMC202.7.4975                   
OGLE-LMC-T2CEP-196   WVir  06:12:24.88 -70:55:24.3  LMC567.05.5227   LMC215.6.68                     
OGLE-LMC-T2CEP-197  BLHer  06:14:19.28 -69:50:44.3  LMC568.02.548    LMC213.2.3423                   
OGLE-LMC-T2CEP-198  RVTau  04:39:35.26 -69:33:29.0  LMC538.28.32     LMC150.4.35                     
OGLE-LMC-T2CEP-199  RVTau  05:04:44.83 -68:58:31.8  LMC510.13.7      LMC119.5.79718                  HV5566
OGLE-LMC-T2CEP-200  RVTau  05:13:56.44 -69:31:58.3  LMC503.15.12684  LMC111.1.9875                   
OGLE-LMC-T2CEP-201  pWVir  05:15:12.67 -69:13:08.0  LMC503.23.75381  LMC111.3.36897                  
OGLE-LMC-T2CEP-203  RVTau  05:22:33.79 -69:38:08.5  LMC503.02.110154 LMC162.5.63                     
OGLE-LMC-T2CEP-204  BLHer  04:08:14.91 -71:20:18.5  MBR145.28.1231                                   
OGLE-LMC-T2CEP-205  BLHer  04:16:05.09 -64:09:12.6  LMC620.11.859                                    
OGLE-LMC-T2CEP-206  BLHer  04:22:26.29 -67:55:06.5  LMC547.25.213                                    
OGLE-LMC-T2CEP-207  RVTau  04:33:17.75 -68:53:21.1  LMC539.16.129                                    
OGLE-LMC-T2CEP-208  pWVir  04:37:31.72 -71:36:36.9  LMC537.03.5002                                   
OGLE-LMC-T2CEP-209  BLHer  04:38:49.70 -73:10:35.4  LMC528.16.239                                    
OGLE-LMC-T2CEP-210   WVir  04:41:54.44 -70:56:39.0  LMC537.18.6767                                   
OGLE-LMC-T2CEP-211  pWVir  04:46:27.44 -70:59:16.7  LMC530.06.8280                                   
OGLE-LMC-T2CEP-212  BLHer  04:46:33.09 -72:20:44.4  LMC529.05.270                                    
OGLE-LMC-T2CEP-213  BLHer  04:48:05.29 -72:32:28.9  LMC528.29.548                                    
OGLE-LMC-T2CEP-214  BLHer  04:49:53.29 -64:04:05.8  LMC586.10.297D                                   
OGLE-LMC-T2CEP-215  BLHer  04:51:17.07 -63:59:08.0  LMC586.09.105                                    
OGLE-LMC-T2CEP-216   WVir  04:56:00.88 -74:55:43.5  LMC636.15.3802                                   
OGLE-LMC-T2CEP-217   WVir  04:56:52.30 -66:17:00.8  LMC533.28.11373                                  
OGLE-LMC-T2CEP-218  BLHer  04:56:53.74 -63:32:38.3  LMC583.05.1984                                   
OGLE-LMC-T2CEP-219  pWVir  04:59:45.70 -66:10:59.1  LMC534.02.115                                    LMV1808 HV12497
OGLE-LMC-T2CEP-220   WVir  04:59:49.34 -74:37:19.5  LMC636.22.4372                                   
OGLE-LMC-T2CEP-221  pWVir  05:01:22.15 -74:40:12.9  LMC636.21.4428                                   
OGLE-LMC-T2CEP-222  BLHer  05:04:27.37 -71:37:55.2  LMC508.04.362                                    
OGLE-LMC-T2CEP-223  RVTau  05:04:35.84 -72:39:36.4  LMC507.11.29                                     
OGLE-LMC-T2CEP-224  pWVir  05:05:43.61 -69:05:47.3  LMC510.04.57926  LMC119.5.40727  LMC_SC13_74219  
OGLE-LMC-T2CEP-225  RVTau  05:06:23.29 -71:22:52.1  LMC508.11.58                                     
OGLE-LMC-T2CEP-226   WVir  05:06:43.42 -72:50:21.5  LMC507.02.7041                                   
OGLE-LMC-T2CEP-227   WVir  05:08:15.20 -72:32:41.5  LMC507.10.91                                     
OGLE-LMC-T2CEP-228  BLHer  05:08:19.15 -77:57:19.9  LMC633.27.1335                                   
OGLE-LMC-T2CEP-229  BLHer  05:11:05.58 -64:52:02.2  LMC513.19.696                                    
OGLE-LMC-T2CEP-230  RVTau  05:13:13.98 -71:32:00.9  LMC501.24.5256                                   
OGLE-LMC-T2CEP-231  BLHer  05:14:14.08 -65:31:28.6  LMC506.24.683                                    
OGLE-LMC-T2CEP-232   WVir  05:15:19.36 -72:10:30.6  LMC501.06.7602                                   
